n_walkers,n_volume,mu,lmax,D,surface,TargetShape,n_targets,fixed_target_dist,detection_time,probability,surface_selector,first_touch_steps,second_touch_steps,delta_selector,delta
1,134217728,2.0,256,7.03,64.00,Ball,1,0.0,10345713.80,1.00,2,0,0,0,0.00
1,134217728,2.0,256,9.06,96.00,Ball,1,0.0,5558649.51,1.00,2,0,0,0,0.00
1,134217728,2.0,256,10.77,128.00,Ball,1,0.0,4262867.92,1.00,2,0,0,0,0.00
1,134217728,2.0,256,16.05,256.00,Ball,1,0.0,4703056.99,1.00,2,0,0,0,0.00
1,134217728,2.0,256,23.53,512.00,Ball,1,0.0,181576.57,1.00,2,0,0,0,0.00
1,134217728,2.0,256,34.11,1024.00,Ball,1,0.0,908284.21,1.00,2,0,0,0,0.00
1,134217728,2.0,256,49.06,2048.00,Ball,1,0.0,155278.38,1.00,2,0,0,0,0.00
1,134217728,2.0,256,70.22,4096.00,Ball,1,0.0,65190.14,1.00,2,0,0,0,0.00
1,134217728,2.0,256,98.93,8000.00,Ball,1,0.0,108988.82,1.00,2,0,0,0,0.00
1,134217728,2.0,256,140.73,16000.00,Ball,1,0.0,13658.34,1.00,2,0,0,0,0.00
1,134217728,2.0,256,199.85,32000.00,Ball,1,0.0,5137.92,1.00,2,0,0,0,0.00
1,134217728,2.0,256,283.46,64000.00,Ball,1,0.0,3.83,1.00,2,0,0,0,0.00
1,134217728,2.0,256,401.70,128000.00,Ball,1,0.0,672.85,1.00,2,0,0,0,0.00
1,134217728,2.0,256,502.63,200000.00,Ball,1,0.0,267.29,1.00,2,0,0,0,0.00
1,134217728,2.0,256,30.43,64.00,Line,1,0.0,5587562.09,1.00,2,0,0,0,0.00
1,134217728,2.0,256,46.43,96.00,Line,1,0.0,22605816.82,1.00,2,0,0,0,0.00
1,134217728,2.0,256,62.43,128.00,Line,1,0.0,787020.84,1.00,2,0,0,0,0.00
1,134217728,2.0,256,126.43,256.00,Line,1,0.0,1003903.28,1.00,2,0,0,0,0.00
1,134217728,2.0,256,254.43,512.00,Line,1,0.0,1072906.58,1.00,2,0,0,0,0.00
1,134217728,2.0,256,510.43,1024.00,Line,1,0.0,141335.63,1.00,2,0,0,0,0.00
1,134217728,2.0,256,7.03,64.00,Disk,1,0.0,7877832.99,1.00,2,0,0,0,0.00
1,134217728,2.0,256,9.06,96.00,Disk,1,0.0,9267510.67,1.00,2,0,0,0,0.00
1,134217728,2.0,256,10.77,128.00,Disk,1,0.0,8043032.42,1.00,2,0,0,0,0.00
1,134217728,2.0,256,16.05,256.00,Disk,1,0.0,100047.66,1.00,2,0,0,0,0.00
1,134217728,2.0,256,23.53,512.00,Disk,1,0.0,298129.26,1.00,2,0,0,0,0.00
1,134217728,2.0,256,34.11,1024.00,Disk,1,0.0,104575.25,1.00,2,0,0,0,0.00
1,134217728,2.0,256,49.06,2048.00,Disk,1,0.0,125711.53,1.00,2,0,0,0,0.00
1,134217728,2.0,256,70.22,4096.00,Disk,1,0.0,509088.48,1.00,2,0,0,0,0.00
1,134217728,2.0,256,98.93,8000.00,Disk,1,0.0,390632.20,1.00,2,0,0,0,0.00
1,134217728,2.0,256,140.73,16000.00,Disk,1,0.0,3850.31,1.00,2,0,0,0,0.00
1,134217728,2.0,256,199.85,32000.00,Disk,1,0.0,33123.66,1.00,2,0,0,0,0.00
1,134217728,2.0,256,283.46,64000.00,Disk,1,0.0,46104.39,1.00,2,0,0,0,0.00
1,134217728,2.0,256,401.70,128000.00,Disk,1,0.0,8589.91,1.00,2,0,0,0,0.00
1,134217728,2.0,256,502.63,200000.00,Disk,1,0.0,467.84,1.00,2,0,0,0,0.00
1,134217728,2.0,256,7.03,64.00,Ball,1,0.0,12216026.86,1.00,2,0,0,0,0.00
1,134217728,2.0,256,9.06,96.00,Ball,1,0.0,308690.69,1.00,2,0,0,0,0.00
1,134217728,2.0,256,10.77,128.00,Ball,1,0.0,5463034.65,1.00,2,0,0,0,0.00
1,134217728,2.0,256,16.05,256.00,Ball,1,0.0,319735.81,1.00,2,0,0,0,0.00
1,134217728,2.0,256,23.53,512.00,Ball,1,0.0,456117.58,1.00,2,0,0,0,0.00
1,134217728,2.0,256,34.11,1024.00,Ball,1,0.0,726121.15,1.00,2,0,0,0,0.00
1,134217728,2.0,256,49.06,2048.00,Ball,1,0.0,389638.65,1.00,2,0,0,0,0.00
1,134217728,2.0,256,70.22,4096.00,Ball,1,0.0,46261.80,1.00,2,0,0,0,0.00
1,134217728,2.0,256,98.93,8000.00,Ball,1,0.0,188247.15,1.00,2,0,0,0,0.00
1,134217728,2.0,256,140.73,16000.00,Ball,1,0.0,15648.07,1.00,2,0,0,0,0.00
1,134217728,2.0,256,199.85,32000.00,Ball,1,0.0,3973.10,1.00,2,0,0,0,0.00
1,134217728,2.0,256,283.46,64000.00,Ball,1,0.0,8697.24,1.00,2,0,0,0,0.00
1,134217728,2.0,256,401.70,128000.00,Ball,1,0.0,1.77,1.00,2,0,0,0,0.00
1,134217728,2.0,256,502.63,200000.00,Ball,1,0.0,1624.66,1.00,2,0,0,0,0.00
1,134217728,2.0,256,30.43,64.00,Line,1,0.0,14043942.10,1.00,2,0,0,0,0.00
1,134217728,2.0,256,46.43,96.00,Line,1,0.0,8780961.39,1.00,2,0,0,0,0.00
1,134217728,2.0,256,62.43,128.00,Line,1,0.0,703306.65,1.00,2,0,0,0,0.00
1,134217728,2.0,256,126.43,256.00,Line,1,0.0,2952628.17,1.00,2,0,0,0,0.00
1,134217728,2.0,256,254.43,512.00,Line,1,0.0,2699031.26,1.00,2,0,0,0,0.00
1,134217728,2.0,256,510.43,1024.00,Line,1,0.0,423050.31,1.00,2,0,0,0,0.00
