n_walkers,n_volume,mu,lmax,D,surface,TargetShape,n_targets,fixed_target_dist,detection_time,probability,surface_selector,first_touch_steps,second_touch_steps,delta_selector,delta
1,134217728,1.0,256,4.37,60.00,Ball_no_boundary,1,0.0,156122679.27,1.00,1,4002523,-1,0,0.00
1,134217728,1.0,256,6.18,120.00,Ball_no_boundary,1,0.0,48298775.71,1.00,1,1239195,-1,0,0.00
1,134217728,1.0,256,8.74,240.00,Ball_no_boundary,1,0.0,70756565.03,1.00,1,1815495,-1,0,0.00
1,134217728,1.0,256,12.36,480.00,Ball_no_boundary,1,0.0,8184598.85,1.00,1,209132,-1,0,0.00
1,134217728,1.0,256,17.48,960.00,Ball_no_boundary,1,0.0,958481.04,1.00,1,24230,-1,0,0.00
1,134217728,1.0,256,24.72,1920.00,Ball_no_boundary,1,0.0,2127544.12,1.00,1,54170,-1,0,0.00
1,134217728,1.0,256,30.90,3000.00,Ball_no_boundary,1,0.0,34991.27,1.00,1,909,-1,0,0.00
1,134217728,1.0,256,7.00,60.00,Line,1,0.0,180912.19,1.00,1,4570,-1,0,0.00
1,134217728,1.0,256,17.00,120.00,Line,1,0.0,81760834.44,1.00,1,2091519,-1,0,0.00
1,134217728,1.0,256,36.00,240.00,Line,1,0.0,83122562.18,1.00,1,2128560,-1,0,0.00
1,134217728,1.0,256,74.00,480.00,Line,1,0.0,20022482.37,1.00,1,510935,-1,0,0.00
1,134217728,1.0,256,150.00,960.00,Line,1,0.0,4531774.48,1.00,1,115854,-1,0,0.00
1,134217728,1.0,256,303.00,1920.00,Line,1,0.0,2947198.42,1.00,1,75841,-1,0,0.00
1,134217728,1.0,256,475.00,3000.00,Line,1,0.0,835881.49,1.00,1,21303,-1,0,0.00
1,134217728,1.2,256,4.37,60.00,Ball_no_boundary,1,0.0,179650362.28,1.00,1,7464485,-1,0,0.00
1,134217728,1.2,256,6.18,120.00,Ball_no_boundary,1,0.0,41551282.33,1.00,1,1721766,-1,0,0.00
1,134217728,1.2,256,8.74,240.00,Ball_no_boundary,1,0.0,63118619.81,1.00,1,2618893,-1,0,0.00
1,134217728,1.2,256,12.36,480.00,Ball_no_boundary,1,0.0,7138021.47,1.00,1,295924,-1,0,0.00
1,134217728,1.2,256,17.48,960.00,Ball_no_boundary,1,0.0,2256432.66,1.00,1,93152,-1,0,0.00
1,134217728,1.2,256,24.72,1920.00,Ball_no_boundary,1,0.0,237594.37,1.00,1,9801,-1,0,0.00
1,134217728,1.2,256,30.90,3000.00,Ball_no_boundary,1,0.0,578419.31,1.00,1,23869,-1,0,0.00
1,134217728,1.2,256,7.00,60.00,Line,1,0.0,101447680.49,1.00,1,4210688,-1,0,0.00
1,134217728,1.2,256,17.00,120.00,Line,1,0.0,70047764.62,1.00,1,2902471,-1,0,0.00
1,134217728,1.2,256,36.00,240.00,Line,1,0.0,4076032.60,1.00,1,168780,-1,0,0.00
1,134217728,1.2,256,74.00,480.00,Line,1,0.0,1923924.85,1.00,1,79823,-1,0,0.00
1,134217728,1.2,256,150.00,960.00,Line,1,0.0,1345209.47,1.00,1,55264,-1,0,0.00
1,134217728,1.2,256,303.00,1920.00,Line,1,0.0,1266264.56,1.00,1,52347,-1,0,0.00
1,134217728,1.2,256,475.00,3000.00,Line,1,0.0,17545490.00,1.00,1,727521,-1,0,0.00
1,134217728,1.4,256,4.37,60.00,Ball_no_boundary,1,0.0,44500322.56,1.00,1,3177823,-1,0,0.00
1,134217728,1.4,256,6.18,120.00,Ball_no_boundary,1,0.0,33236929.53,1.00,1,2371650,-1,0,0.00
1,134217728,1.4,256,8.74,240.00,Ball_no_boundary,1,0.0,2008241.30,1.00,1,141960,-1,0,0.00
1,134217728,1.4,256,12.36,480.00,Ball_no_boundary,1,0.0,20820719.39,1.00,1,1486538,-1,0,0.00
1,134217728,1.4,256,17.48,960.00,Ball_no_boundary,1,0.0,139887.68,1.00,1,9974,-1,0,0.00
1,134217728,1.4,256,24.72,1920.00,Ball_no_boundary,1,0.0,1277008.20,1.00,1,91049,-1,0,0.00
1,134217728,1.4,256,30.90,3000.00,Ball_no_boundary,1,0.0,827597.24,1.00,1,59385,-1,0,0.00
1,134217728,1.4,256,7.00,60.00,Line,1,0.0,84598997.68,1.00,1,6032815,-1,0,0.00
1,134217728,1.4,256,17.00,120.00,Line,1,0.0,23752856.77,1.00,1,1694411,-1,0,0.00
1,134217728,1.4,256,36.00,240.00,Line,1,0.0,14813918.17,1.00,1,1055999,-1,0,0.00
1,134217728,1.4,256,74.00,480.00,Line,1,0.0,29702823.43,1.00,1,2114979,-1,0,0.00
1,134217728,1.4,256,150.00,960.00,Line,1,0.0,52017.35,1.00,1,3800,-1,0,0.00
1,134217728,1.4,256,303.00,1920.00,Line,1,0.0,622352.82,1.00,1,46183,-1,0,0.00
1,134217728,1.4,256,475.00,3000.00,Line,1,0.0,1788262.64,1.00,1,126853,-1,0,0.00
1,134217728,1.6,256,4.37,60.00,Ball_no_boundary,1,0.0,44901460.85,1.00,1,5569840,-1,0,0.00
1,134217728,1.6,256,6.18,120.00,Ball_no_boundary,1,0.0,20534156.77,1.00,1,2555938,-1,0,0.00
1,134217728,1.6,256,8.74,240.00,Ball_no_boundary,1,0.0,1252786.66,1.00,1,156208,-1,0,0.00
1,134217728,1.6,256,12.36,480.00,Ball_no_boundary,1,0.0,8171176.93,1.00,1,1013738,-1,0,0.00
1,134217728,1.6,256,17.48,960.00,Ball_no_boundary,1,0.0,1481265.11,1.00,1,183950,-1,0,0.00
1,134217728,1.6,256,24.72,1920.00,Ball_no_boundary,1,0.0,86669.90,1.00,1,10936,-1,0,0.00
1,134217728,1.6,256,30.90,3000.00,Ball_no_boundary,1,0.0,55597.45,1.00,1,6622,-1,0,0.00
1,134217728,1.6,256,7.00,60.00,Line,1,0.0,11547908.58,1.00,1,1436811,-1,0,0.00
1,134217728,1.6,256,17.00,120.00,Line,1,0.0,2482962.82,1.00,1,310284,-1,0,0.00
1,134217728,1.6,256,36.00,240.00,Line,1,0.0,2335084.20,1.00,1,288467,-1,0,0.00
1,134217728,1.6,256,74.00,480.00,Line,1,0.0,46050742.55,1.00,1,5730806,-1,0,0.00
1,134217728,1.6,256,150.00,960.00,Line,1,0.0,652195.62,1.00,1,81412,-1,0,0.00
1,134217728,1.6,256,303.00,1920.00,Line,1,0.0,1495944.25,1.00,1,187995,-1,0,0.00
1,134217728,1.6,256,475.00,3000.00,Line,1,0.0,1065995.11,1.00,1,133771,-1,0,0.00
1,134217728,1.8,256,4.37,60.00,Ball_no_boundary,1,0.0,480623.19,1.00,1,101011,-1,0,0.00
1,134217728,1.8,256,6.18,120.00,Ball_no_boundary,1,0.0,3512355.36,1.00,1,736175,-1,0,0.00
1,134217728,1.8,256,8.74,240.00,Ball_no_boundary,1,0.0,8186350.37,1.00,1,1725200,-1,0,0.00
1,134217728,1.8,256,12.36,480.00,Ball_no_boundary,1,0.0,5311721.75,1.00,1,1108475,-1,0,0.00
1,134217728,1.8,256,17.48,960.00,Ball_no_boundary,1,0.0,28386.78,1.00,1,5755,-1,0,0.00
1,134217728,1.8,256,24.72,1920.00,Ball_no_boundary,1,0.0,504048.75,1.00,1,105530,-1,0,0.00
1,134217728,1.8,256,30.90,3000.00,Ball_no_boundary,1,0.0,864798.46,1.00,1,180350,-1,0,0.00
1,134217728,1.8,256,7.00,60.00,Line,1,0.0,14906326.09,1.00,1,3127183,-1,0,0.00
1,134217728,1.8,256,17.00,120.00,Line,1,0.0,4225344.18,1.00,1,887652,-1,0,0.00
1,134217728,1.8,256,36.00,240.00,Line,1,0.0,6010757.09,1.00,1,1257275,-1,0,0.00
1,134217728,1.8,256,74.00,480.00,Line,1,0.0,7953769.35,1.00,1,1671262,-1,0,0.00
1,134217728,1.8,256,150.00,960.00,Line,1,0.0,1276835.28,1.00,1,266304,-1,0,0.00
1,134217728,1.8,256,303.00,1920.00,Line,1,0.0,1091366.85,1.00,1,229224,-1,0,0.00
1,134217728,1.8,256,475.00,3000.00,Line,1,0.0,536468.38,1.00,1,113848,-1,0,0.00
1,134217728,2.0,256,4.37,60.00,Ball_no_boundary,1,0.0,40509943.89,1.00,1,13365571,-1,0,0.00
1,134217728,2.0,256,6.18,120.00,Ball_no_boundary,1,0.0,28313442.83,1.00,1,9339660,-1,0,0.00
1,134217728,2.0,256,8.74,240.00,Ball_no_boundary,1,0.0,8372313.64,1.00,1,2761408,-1,0,0.00
1,134217728,2.0,256,12.36,480.00,Ball_no_boundary,1,0.0,4395289.65,1.00,1,1458275,-1,0,0.00
1,134217728,2.0,256,17.48,960.00,Ball_no_boundary,1,0.0,1565513.31,1.00,1,517913,-1,0,0.00
1,134217728,2.0,256,24.72,1920.00,Ball_no_boundary,1,0.0,1072228.93,1.00,1,358184,-1,0,0.00
1,134217728,2.0,256,30.90,3000.00,Ball_no_boundary,1,0.0,267647.41,1.00,1,89684,-1,0,0.00
1,134217728,2.0,256,7.00,60.00,Line,1,0.0,76193962.78,1.00,1,25177298,-1,0,0.00
1,134217728,2.0,256,17.00,120.00,Line,1,0.0,32291478.68,1.00,1,10657009,-1,0,0.00
1,134217728,2.0,256,36.00,240.00,Line,1,0.0,167008.02,1.00,1,54673,-1,0,0.00
1,134217728,2.0,256,74.00,480.00,Line,1,0.0,813514.70,1.00,1,269303,-1,0,0.00
1,134217728,2.0,256,150.00,960.00,Line,1,0.0,1622561.46,1.00,1,538665,-1,0,0.00
1,134217728,2.0,256,303.00,1920.00,Line,1,0.0,670526.36,1.00,1,223641,-1,0,0.00
