n_walkers,n_volume,mu,lmax,D,TargetShape,DiskDiameter,n_targets,fixed_target_dist,detection_time,probability
1,134217728,1.0,256,10.00,Line,10,1,0.0,12656689.06,1.00
1,134217728,1.0,256,5.24,Ball_no_boundary,10,1,0.0,247114063.17,1.00
1,134217728,1.0,256,25.00,Line,25,1,0.0,16752616.81,1.00
1,134217728,1.0,256,6.87,Ball_no_boundary,25,1,0.0,6777582.29,1.00
1,134217728,1.0,256,50.00,Line,50,1,0.0,10481753.17,1.00
1,134217728,1.0,256,8.55,Ball_no_boundary,50,1,0.0,15154904.05,1.00
1,134217728,1.0,256,100.00,Line,100,1,0.0,723390.56,1.00
1,134217728,1.0,256,10.70,Ball_no_boundary,100,1,0.0,8464842.07,1.00
1,134217728,1.0,256,200.00,Line,200,1,0.0,13827437.50,1.00
1,134217728,1.0,256,13.43,Ball_no_boundary,200,1,0.0,1405170.81,1.00
1,134217728,1.0,256,250.00,Line,250,1,0.0,25953145.60,1.00
1,134217728,1.0,256,14.46,Ball_no_boundary,250,1,0.0,1431957.60,1.00
1,134217728,1.0,256,300.00,Line,300,1,0.0,1891666.50,1.00
1,134217728,1.0,256,15.36,Ball_no_boundary,300,1,0.0,10208773.93,1.00
1,134217728,1.0,256,350.00,Line,350,1,0.0,116330.19,1.00
1,134217728,1.0,256,16.16,Ball_no_boundary,350,1,0.0,2193910.55,1.00
1,134217728,1.0,256,400.00,Line,400,1,0.0,3218290.29,1.00
1,134217728,1.0,256,16.90,Ball_no_boundary,400,1,0.0,4941727.17,1.00
1,134217728,1.0,256,450.00,Line,450,1,0.0,4027024.02,1.00
1,134217728,1.0,256,17.57,Ball_no_boundary,450,1,0.0,1391044.61,1.00
1,134217728,1.0,256,500.00,Line,500,1,0.0,1220517.80,1.00
1,134217728,1.0,256,18.20,Ball_no_boundary,500,1,0.0,367479.55,1.00
1,134217728,1.2,256,10.00,Line,10,1,0.0,121061536.42,1.00
1,134217728,1.2,256,5.24,Ball_no_boundary,10,1,0.0,103982197.59,1.00
1,134217728,1.2,256,25.00,Line,25,1,0.0,117990012.55,1.00
1,134217728,1.2,256,6.87,Ball_no_boundary,25,1,0.0,1488779.15,1.00
1,134217728,1.2,256,50.00,Line,50,1,0.0,66607342.09,1.00
1,134217728,1.2,256,8.55,Ball_no_boundary,50,1,0.0,14617868.80,1.00
1,134217728,1.2,256,100.00,Line,100,1,0.0,671408.68,1.00
1,134217728,1.2,256,10.70,Ball_no_boundary,100,1,0.0,132229.59,1.00
1,134217728,1.2,256,200.00,Line,200,1,0.0,6661689.81,1.00
1,134217728,1.2,256,13.43,Ball_no_boundary,200,1,0.0,1783705.38,1.00
1,134217728,1.2,256,250.00,Line,250,1,0.0,839859.64,1.00
1,134217728,1.2,256,14.46,Ball_no_boundary,250,1,0.0,4426002.45,1.00
1,134217728,1.2,256,300.00,Line,300,1,0.0,11624636.11,1.00
1,134217728,1.2,256,15.36,Ball_no_boundary,300,1,0.0,11458456.19,1.00
1,134217728,1.2,256,350.00,Line,350,1,0.0,305496.36,1.00
1,134217728,1.2,256,16.16,Ball_no_boundary,350,1,0.0,4518375.05,1.00
1,134217728,1.2,256,400.00,Line,400,1,0.0,356432.15,1.00
1,134217728,1.2,256,16.90,Ball_no_boundary,400,1,0.0,1305695.58,1.00
1,134217728,1.2,256,450.00,Line,450,1,0.0,296642.93,1.00
1,134217728,1.2,256,17.57,Ball_no_boundary,450,1,0.0,4947855.09,1.00
1,134217728,1.2,256,500.00,Line,500,1,0.0,1001183.68,1.00
1,134217728,1.2,256,18.20,Ball_no_boundary,500,1,0.0,191058.74,1.00
1,134217728,1.4,256,10.00,Line,10,1,0.0,22256436.30,1.00
1,134217728,1.4,256,5.24,Ball_no_boundary,10,1,0.0,77819725.33,1.00
1,134217728,1.4,256,25.00,Line,25,1,0.0,13014160.49,1.00
1,134217728,1.4,256,6.87,Ball_no_boundary,25,1,0.0,6970416.36,1.00
1,134217728,1.4,256,50.00,Line,50,1,0.0,6697842.69,1.00
1,134217728,1.4,256,8.55,Ball_no_boundary,50,1,0.0,2607961.84,1.00
1,134217728,1.4,256,100.00,Line,100,1,0.0,7602266.16,1.00
1,134217728,1.4,256,10.70,Ball_no_boundary,100,1,0.0,8459834.90,1.00
1,134217728,1.4,256,200.00,Line,200,1,0.0,2638045.37,1.00
1,134217728,1.4,256,13.43,Ball_no_boundary,200,1,0.0,2149089.66,1.00
1,134217728,1.4,256,250.00,Line,250,1,0.0,3130070.43,1.00
1,134217728,1.4,256,14.46,Ball_no_boundary,250,1,0.0,1790500.27,1.00
1,134217728,1.4,256,300.00,Line,300,1,0.0,6100943.41,1.00
1,134217728,1.4,256,15.36,Ball_no_boundary,300,1,0.0,2388369.54,1.00
1,134217728,1.4,256,350.00,Line,350,1,0.0,5315606.30,1.00
1,134217728,1.4,256,16.16,Ball_no_boundary,350,1,0.0,2951044.51,1.00
1,134217728,1.4,256,400.00,Line,400,1,0.0,1901376.79,1.00
1,134217728,1.4,256,16.90,Ball_no_boundary,400,1,0.0,1606035.27,1.00
1,134217728,1.4,256,450.00,Line,450,1,0.0,2741299.75,1.00
1,134217728,1.4,256,17.57,Ball_no_boundary,450,1,0.0,1152458.77,1.00
1,134217728,1.4,256,500.00,Line,500,1,0.0,894272.88,1.00
1,134217728,1.4,256,18.20,Ball_no_boundary,500,1,0.0,1927460.47,1.00
1,134217728,1.6,256,10.00,Line,10,1,0.0,7490122.03,1.00
1,134217728,1.6,256,5.24,Ball_no_boundary,10,1,0.0,13011591.00,1.00
1,134217728,1.6,256,25.00,Line,25,1,0.0,45659700.41,1.00
